,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
1206,7,Big Daddy,298995321.10498196,3254.0,41536370.0,0.254,3027.0,Jun 25,-,Sony Pictures Releasing,1999,9032.0,62549870.348139256,429439417.82887155,1999-06-25,366889547.4807323
1207,8,The Mummy,284430241.7819688,3411.0,43369635.0,0.27899999999999997,3210.0,May 7,-,Universal Pictures,1999,564.0,146315486.1944778,760631092.2243458,1999-05-07,614315606.029868
1208,9,Runaway Bride,278470393.2011885,3240.0,35055556.0,0.23,3158.0,Jul 30,-,Paramount Pictures,1999,4806.0,128026050.42016807,566058037.214886,1999-07-30,438031986.7947179
1209,10,The Blair Witch Project,257038082.49398562,2538.0,1512054.0,0.011000000000000001,27.0,Jul 16,-,Artisan Entertainment,1999,2667.0,109736.61464585835,454746883.21427375,1999-07-16,454637146.5996279
1210,11,Stuart Little,256116785.08783916,3151.0,15018223.0,0.107,2878.0,Dec 17,-,Sony Pictures Releasing,1999,10137.0,243249495.79831934,548865967.5870348,1999-12-17,305616471.7887155
1211,12,The Green Mile,250201994.3610324,2875.0,18017152.0,0.132,2875.0,Dec 10,-,Warner Bros.,1999,497.0,109736614.64585835,524543530.9756783,1999-12-10,414806916.32982
1212,13,American Beauty,237939342.84454983,1990.0,861531.0,0.006999999999999999,16.0,Sep 15,-,DreamWorks Distribution,1999,14.0,27434153.661464587,651646380.0594357,1999-09-15,624212226.3979712
1213,14,The World Is Not Enough,232172835.5472269,3163.0,35519007.0,0.28,3163.0,Nov 19,-,Metro-Goldwyn-Mayer (MGM),1999,36643.0,246907382.95318127,661771044.0864346,1999-11-19,414863661.13325334
1214,15,Double Jeopardy,213513722.7233854,3002.0,23162542.0,0.198,2547.0,Sep 24,-,Paramount Pictures,1999,10398.0,128026050.42016807,325262175.3044178,1999-09-24,197236124.88424972
1215,16,Notting Hill,212321470.98412967,2786.0,21811180.0,0.188,2747.0,May 28,-,Universal Pictures,1999,509.0,76815630.25210084,665533689.4715246,1999-05-28,588718059.2194238
1216,17,Wild Wild West,208142340.3965306,3342.0,27687484.0,0.243,3342.0,Jun 30,-,Warner Bros.,1999,8487.0,310920408.1632653,406216929.8323049,1999-06-30,95296521.6690396
1217,18,Analyze This,195487837.71858343,2537.0,18383507.0,0.172,2518.0,Mar 5,-,Warner Bros.,1999,9535.0,146315486.1944778,323513888.1387515,1999-03-05,177198401.9442737
1218,19,The General's Daughter,187843208.379976,2858.0,22332053.0,0.217,2856.0,Jun 18,-,Paramount Pictures,1999,2275.0,109736614.64585835,273792853.5414166,1999-06-18,164056238.89555824
1219,20,American Pie,187578289.56067225,2544.0,18709680.0,0.182,2508.0,Jul 9,-,Universal Pictures,1999,2105.0,20118379.351740696,430716212.484994,1999-07-09,410597833.1332533
1220,21,Sleepy Hollow,184854074.44420168,3069.0,30060467.0,0.297,3064.0,Nov 19,-,Paramount Pictures,1999,2668.0,182894357.74309725,376945271.3085234,1999-11-19,194050913.56542617
1221,22,Inspector Gadget,178144796.11418968,2877.0,21889138.0,0.225,2814.0,Jul 23,-,Walt Disney Studios Motion Pictures,1999,332.0,137170768.30732292,245810016.8067227,1999-07-23,108639248.49939978
1222,23,The Haunting,167185837.5270228,2881.0,33435140.0,0.366,2808.0,Jul 23,Nov 11,DreamWorks Distribution,1999,11618.0,146315486.1944778,324271696.2785114,1999-07-23,177956210.0840336
1223,24,Entrapment,160406391.77666268,2879.0,20145595.0,0.23,2814.0,Apr 30,-,Twentieth Century Fox,1999,1844.0,120710276.11044419,388467615.84633857,1999-04-30,267757339.73589438
1224,25,Pokémon: The First Movie - Mewtwo Strikes Back,156822148.86388955,3043.0,31036678.0,0.36200000000000004,3043.0,Nov 10,-,Warner Bros.,1999,10228.0,54868307.32292917,299215169.2677071,1999-11-10,244346861.94477794
1225,26,Payback,149106675.39581034,2855.0,21221526.0,0.26,2729.0,Feb 5,-,Paramount Pictures,1999,2112.0,164604921.96878752,295605055.94803125,1999-02-05,131000133.97924373
1226,27,The Talented Mr. Ripley,148689939.62803122,2369.0,12738237.0,0.157,2307.0,Dec 25,-,Paramount Pictures,1999,1213.0,73157743.0972389,235564759.5560024,1999-12-25,162407016.4587635
1227,28,Any Given Sunday,138141630.08441776,2505.0,13584625.0,0.18,2505.0,Dec 22,Mar 30,Warner Bros.,1999,9563.0,100591896.75870349,183316536.44696277,1999-12-22,82724639.68825929
1228,29,Deep Blue Sea,134698296.30062425,2901.0,19107643.0,0.259,2854.0,Jul 30,-,Warner Bros.,1999,8914.0,109736614.64585835,301227007.20288116,1999-07-30,191490392.5570228
1229,30,Galaxy Quest,130922943.41555823,2450.0,7012630.0,0.098,2412.0,Dec 25,May 18,DreamWorks Distribution,1999,926.0,82302460.98439376,165855765.74448982,1999-12-25,83553304.76009606
1230,31,The Thomas Crown Affair,126755265.67264107,2427.0,14600719.0,0.21100000000000002,2427.0,Aug 6,-,Metro-Goldwyn-Mayer (MGM),1999,913.0,87789291.71668668,227337686.67466986,1999-08-06,139548394.9579832
1231,32,Blue Streak,125316530.86534214,2735.0,19208806.0,0.28,2735.0,Sep 17,-,Sony Pictures Releasing,1999,11001.0,118881332.53301321,215373652.26290518,1999-09-17,96492319.72989197
1232,33,End of Days,122336285.59535415,2652.0,20523595.0,0.307,2593.0,Nov 24,-,Universal Pictures,1999,9946.0,182894357.74309725,387736038.4153662,1999-11-24,204841680.67226893
1233,34,The Bone Collector,121658866.84159665,2623.0,16712020.0,0.251,2587.0,Nov 5,-,Universal Pictures,1999,9481.0,133512881.15246099,277073347.3337935,1999-11-05,143560466.18133253
1234,35,Bowfinger,121414007.87545018,2746.0,18062550.0,0.272,2706.0,Aug 13,Dec 2,Universal Pictures,1999,11353.0,100591896.75870349,180380977.75540215,1999-08-13,79789080.99669866
1235,36,Deuce Bigalow: Male Gigolo,119866685.03007202,2162.0,12224016.0,0.187,2154.0,Dec 10,-,Walt Disney Studios Motion Pictures,1999,10402.0,31092040.816326533,119795804.32172869,1999-12-10,88703763.50540216
1236,37,Life,117082142.2096999,2613.0,20414775.0,0.319,2594.0,Apr 16,-,Universal Pictures,1999,6522.0,146315486.1944778,134427352.94117647,1999-04-16,-11888133.253301322
1237,38,She's All That,115894647.55268908,2654.0,16065430.0,0.254,2222.0,Jan 29,-,Miramax,1999,10314.0,18289435.774309725,188686601.93444178,1999-01-29,170397166.16013205
1238,39,Three Kings,110929151.70031212,2942.0,15847636.0,0.261,2942.0,Oct 1,-,Warner Bros.,1999,6415.0,137170768.30732292,197525906.362545,1999-10-01,60355138.055222094
1239,40,Bicentennial Man,106488156.62918368,2767.0,8234926.0,0.141,2518.0,Dec 17,Jun 1,Walt Disney Studios Motion Pictures,1999,2277.0,182894357.74309725,159893309.0901681,1999-12-17,-23001048.652929157
1240,41,The Cider House Rules,105246726.42607443,1738.0,110098.0,0.002,8.0,Dec 10,-,Miramax,1999,1715.0,43894645.85834334,161861506.60264108,1999-12-10,117966860.74429774
1241,42,Eyes Wide Shut,101856077.1909724,2483.0,21706163.0,0.39,2411.0,Jul 16,-,Warner Bros.,1999,345.0,118881332.53301321,296471753.9015606,1999-07-16,177590421.36854738
1242,43,Never Been Kissed,101460198.6957503,2500.0,11836707.0,0.213,2455.0,Apr 9,-,Twentieth Century Fox,1999,11355.0,45723589.43577431,154665034.282473,1999-04-09,108941444.84669869
1243,44,Forces of Nature,96752358.9277311,2335.0,13510728.0,0.255,2058.0,Mar 19,-,DreamWorks Distribution,1999,1641.0,137170768.30732292,171716183.80768308,1999-03-19,34545415.50036016
1245,46,Message in a Bottle,96714565.63764706,2545.0,16751560.0,0.317,2538.0,Feb 12,-,Warner Bros.,1999,10207.0,146315486.1944778,217424841.74809125,1999-02-12,71109355.55361345
1246,47,"South Park: Bigger, Longer & Uncut",95173839.7917527,2128.0,11335889.0,0.218,2128.0,Jun 30,-,Paramount Pictures,1999,9473.0,38407815.12605042,151985211.2845138,1999-06-30,113577396.15846339
1247,48,The Hurricane,92726051.20757502,2148.0,384640.0,0.008,11.0,Dec 29,-,Universal Pictures,1999,10400.0,91447178.87154862,135261791.98788714,1999-12-29,43814613.11633852
1248,49,Stigmata,91531800.4329892,2901.0,18309666.0,0.366,2899.0,Sep 10,-,Metro-Goldwyn-Mayer (MGM),1999,10307.0,53039363.7454982,91523504.34492198,1999-09-10,38484140.59942377
1249,50,House on Haunted Hill,74705179.33711885,2710.0,15946032.0,0.39,2710.0,Oct 29,-,Warner Bros.,1999,11377.0,67670912.36494598,74705179.33711885,1999-10-29,7034266.972172871
1250,1,Saving Private Ryan,404788024.87188953,2807.0,30576104.0,0.141,2463.0,Jul 24,-,DreamWorks Distribution,1998,857.0,130853619.63190185,900723243.2767977,1998-07-24,769869623.6448958
1251,2,Armageddon,376817639.33597547,3184.0,36089972.0,0.179,3127.0,Jul 1,-,Walt Disney Studios Motion Pictures,1998,95.0,261707239.2638037,1035238253.7382331,1998-07-01,773531014.4744294
1252,3,There's Something About Mary,329909362.7546135,2555.0,13740644.0,0.078,2186.0,Jul 15,-,Twentieth Century Fox,1998,544.0,42994760.73619632,691467912.8834356,1998-07-15,648473152.1472393
1253,4,A Bug's Life,304325450.016135,2773.0,291121.0,0.002,1.0,Nov 20,May 20,Walt Disney Studios Motion Pictures,1998,9487.0,149546993.86503068,679053379.478638,1998-11-20,529506385.6136074
1254,5,The Waterboy,301882377.4201963,2782.0,39414071.0,,2664.0,Nov 6,-,Walt Disney Studios Motion Pictures,1998,10663.0,42994760.73619632,347681144.2913619,1998-11-06,304686383.5551656
1255,6,Doctor Dolittle,269477336.54423314,2871.0,29014324.0,0.201,2777.0,Jun 26,-,Twentieth Century Fox,1998,3050.0,132722957.05521472,550519871.1656442,1998-06-26,417796914.11042947
1256,7,Rush Hour,263925888.5553865,2724.0,33001803.0,0.23399999999999999,2638.0,Sep 18,-,New Line Cinema,1998,2109.0,61688134.969325155,457466243.2081472,1998-09-18,395778108.2388221
1257,8,Deep Impact,262575853.06826994,3280.0,41152375.0,0.293,3156.0,May 8,-,Paramount Pictures,1998,8656.0,140200306.74846625,653267374.5406626,1998-05-08,513067067.7921964
1258,9,Godzilla,254817411.10667485,3310.0,44047541.0,0.32299999999999995,3310.0,May 20,-,Sony Pictures Releasing,1998,929.0,243013865.03067484,708478883.4355829,1998-05-20,465465018.40490806
1259,10,Patch Adams,252410841.06260124,2909.0,25262280.0,0.187,2712.0,Dec 25,-,Universal Pictures,1998,10312.0,93466871.16564417,378153692.17916566,1998-12-25,284686821.0135215
1260,11,Lethal Weapon 4,243844978.057092,3117.0,34048124.0,0.261,3117.0,Jul 10,-,Warner Bros.,1998,944.0,261707239.2638037,533508900.61349696,1998-07-10,271801661.3496933
1261,12,The Truman Show,234822804.17853987,2911.0,31542121.0,0.251,2315.0,Jun 5,-,Paramount Pictures,1998,37165.0,112160245.398773,493692013.4969325,1998-06-05,381531768.0981595
1262,13,Mulan,225479954.8117055,2953.0,22745143.0,0.18899999999999997,2888.0,Jun 19,-,Walt Disney Studios Motion Pictures,1998,10674.0,168240368.09815952,568877239.4742821,1998-06-19,400636871.3761226
1263,14,You've Got Mail,216509455.027546,2948.0,18426749.0,0.159,2691.0,Dec 18,-,Warner Bros.,1998,9489.0,121506932.51533742,468829825.76687115,1998-12-18,347322893.25153375
1264,15,Enemy of the State,208524282.99921474,2517.0,20038573.0,0.18,2393.0,Nov 20,-,Walt Disney Studios Motion Pictures,1998,9798.0,168240368.09815952,468549118.5820368,1998-11-20,300308750.4838773
1265,16,The Prince of Egypt,189575467.54586503,3218.0,14524321.0,0.14300000000000002,3118.0,Dec 18,-,DreamWorks Distribution,1998,9837.0,130853619.63190185,408637160.73619634,1998-12-18,277783541.1042945
1266,17,The Rugrats Movie,187858456.82116562,2832.0,27321470.0,0.272,2782.0,Nov 20,-,Paramount Pictures,1998,14444.0,56080122.6993865,187852863.7635951,1998-11-20,131772741.0642086
1267,18,Shakespeare in Love,187527806.54839265,2030.0,224012.0,0.002,8.0,Dec 11,-,Miramax,1998,1934.0,46733435.582822084,540799316.5644171,1998-12-11,494065880.98159504
1268,19,The Mask of Zorro,175896282.51009816,2515.0,22525855.0,0.239,2515.0,Jul 17,-,Sony Pictures Releasing,1998,9342.0,177587055.2147239,467895157.0552147,1998-07-17,290308101.8404908
1269,20,Stepmom,170367042.2498405,2503.0,19142440.0,0.21,2358.0,Dec 25,-,Sony Pictures Releasing,1998,9441.0,93466871.16564417,298553362.2618773,1998-12-25,205086491.09623313
1270,21,Antz,169657069.7658037,2929.0,17195160.0,0.18899999999999997,2449.0,Oct 2,-,DreamWorks Distribution,1998,8916.0,112160245.398773,321073401.05414724,1998-10-02,208913155.65537423
1272,23,The X Files,156834256.2437178,2650.0,30138758.0,0.359,2629.0,Jun 19,-,Twentieth Century Fox,1998,846.0,123376269.93865031,353675486.9185644,1998-06-19,230299216.97991407
1273,24,The Wedding Singer,150006336.80337423,2837.0,18865080.0,0.235,2821.0,Feb 13,-,New Line Cinema,1998,11003.0,33648073.6196319,230502365.3550552,1998-02-13,196854291.73542333
1274,25,City of Angels,147089028.25784048,2433.0,15369048.0,0.195,2212.0,Apr 10,-,Warner Bros.,1998,795.0,102813558.28220859,371409519.0553865,1998-04-10,268595960.77317786
1275,26,The Horse Whisperer,140917315.41856444,2362.0,13685488.0,0.182,2039.0,May 15,-,Walt Disney Studios Motion Pictures,1998,547.0,112160245.398773,349348438.1179509,1998-05-15,237188192.7191779
1276,27,Six Days Seven Nights,138965224.2968589,2606.0,16485276.0,0.222,2550.0,Jun 12,-,Walt Disney Studios Motion Pictures,1998,6068.0,130853619.63190185,308140261.10667485,1998-06-12,177286641.474773
1277,28,Star Trek: Insurrection,131204415.7540859,2677.0,22052836.0,0.314,2620.0,Dec 11,-,Paramount Pictures,1998,200.0,130853619.63190185,220581815.95092025,1998-12-11,89728196.31901841
1278,29,Blade,131017594.17199999,2389.0,17073856.0,0.244,2322.0,Aug 21,-,New Line Cinema,1998,36647.0,84120184.04907976,245226281.95128834,1998-08-21,161106097.90220857
1279,30,Lost in Space,129204170.50035582,3306.0,20154919.0,0.292,3306.0,Apr 3,-,New Line Cinema,1998,2157.0,149546993.86503068,254527904.95058894,1998-04-03,104980911.08555827
1280,31,A Perfect Murder,126438932.55420858,2845.0,16615704.0,0.24600000000000002,2845.0,Jun 5,-,Warner Bros.,1998,1965.0,112160245.398773,239346912.92230675,1998-06-05,127186667.52353375
1281,32,The Parent Trap,123952994.18181597,2407.0,11148497.0,0.168,2247.0,Jul 31,-,Walt Disney Studios Motion Pictures,1998,9820.0,28040061.34969325,172181899.70328835,1998-07-31,144141838.3535951
1282,33,Ever After: A Cinderella Story,122826256.65792638,2067.0,8526904.0,0.13,1767.0,Jul 31,-,Twentieth Century Fox,1998,9454.0,48602773.00613497,122815468.71165644,1998-07-31,74212695.70552146
1283,34,Hope Floats,112259684.80300613,2404.0,14210464.0,0.237,2367.0,May 29,-,Twentieth Century Fox,1998,9715.0,56080122.6993865,152298437.9703313,1998-05-29,96218315.2709448
1284,35,Life Is Beautiful,107014677.2979632,1136.0,118920.0,0.002,6.0,Oct 23,-,Miramax,1998,637.0,37386748.46625767,430132210.04052764,1998-10-23,392745461.57426995
1285,36,U.S. Marshals,106865169.56018406,2817.0,16863988.0,0.295,2817.0,Mar 6,-,Warner Bros.,1998,11808.0,112160245.398773,191359221.0939264,1998-03-06,79198975.6951534
1286,37,The Man in the Iron Mask,106494100.47364417,3101.0,17271450.0,0.303,3101.0,Mar 13,-,Metro-Goldwyn-Mayer (MGM),1998,9313.0,65426809.81595092,342088748.4662577,1998-03-13,276661938.65030676
1287,38,A Civil Action,106010089.75866257,2319.0,70079.0,0.001,2.0,Dec 25,-,Walt Disney Studios Motion Pictures,1998,9422.0,130853619.63190185,106010089.75866257,1998-12-25,-24843529.87323928
1288,39,Snake Eyes,103919101.25839263,2718.0,16310373.0,0.293,2713.0,Aug 7,-,Paramount Pictures,1998,8688.0,136461631.90184048,194224158.2822086,1998-08-07,57762526.38036811
1289,40,What Dreams May Come,103529378.05370551,2531.0,15833592.0,0.28600000000000003,2526.0,Oct 2,-,PolyGram,1998,12159.0,158893680.9815951,133629666.08703068,1998-10-02,-25264014.89456442
1290,41,Halloween H20: 20 Years Later,102891580.68758282,2669.0,16187724.0,0.294,2607.0,Aug 7,-,Dimension Films,1998,11675.0,31778736.196319018,140200306.74846625,1998-08-07,108421570.55214724
1291,42,Small Soldiers,102220131.50916564,2613.0,14047592.0,0.257,2539.0,Jul 10,Nov 19,DreamWorks Distribution,1998,11551.0,74773496.93251534,102220131.50916564,1998-07-10,27446634.576650307
1294,45,Practical Magic,87359523.3525276,2652.0,13104694.0,0.28,2652.0,Oct 16,-,Warner Bros.,1998,6435.0,140200306.74846625,87360185.09797546,1998-10-16,-52840121.65049079
1295,46,Meet Joe Black,83408153.42453988,2527.0,15017995.0,0.337,2503.0,Nov 13,-,Universal Pictures,1998,297.0,168240368.09815952,267203278.22208586,1998-11-13,98962910.12392634
1296,47,The Negotiator,83274647.2151043,2436.0,10218831.0,0.22899999999999998,2436.0,Jul 31,-,Warner Bros.,1998,9631.0,93466871.16564417,83274647.2151043,1998-07-31,-10192223.950539872
1297,48,Ronin,77794835.97499387,2487.0,12697641.0,0.305,2487.0,Sep 25,-,Metro-Goldwyn-Mayer (MGM),1998,8195.0,102813558.28220859,132147389.9319141,1998-09-25,29333831.649705514
1298,49,The Siege,76607857.18330061,2582.0,13931285.0,0.34,2541.0,Nov 6,-,Twentieth Century Fox,1998,9882.0,130853619.63190185,218151677.3006135,1998-11-06,87298057.66871165
1300,1,Titanic,1140369650.056162,3265.0,28638131.0,0.048,2674.0,Dec 19,-,Paramount Pictures,1997,597.0,379690965.73208725,4298409951.924026,1997-12-19,3918718986.1919384
1301,2,Men in Black,475924664.26403743,3180.0,51068455.0,0.204,3020.0,Jul 2,-,Sony Pictures Releasing,1997,607.0,170860934.57943925,1118949276.012461,1997-07-02,948088341.4330217
1302,3,The Lost World: Jurassic Park,434910711.9293334,3565.0,72132785.0,0.315,3281.0,May 23,-,Universal Pictures,1997,330.0,138587202.49221185,1174458194.8492088,1997-05-23,1035870992.356997
1303,4,Liar Liar,344399858.0170094,2909.0,31423025.0,0.17300000000000001,2845.0,Mar 21,Oct 16,Universal Pictures,1997,1624.0,85430467.28971963,574682428.7335203,1997-03-21,489251961.4438006
1304,5,Air Force One,328349929.8138193,2981.0,37132505.0,0.215,2919.0,Jul 25,-,Sony Pictures Releasing,1997,9772.0,161368660.43613708,598392961.9937695,1997-07-25,437024301.55763245
1305,6,As Good as It Gets,281878796.9328474,1837.0,12606928.0,0.085,1572.0,Dec 23,-,Sony Pictures Releasing,1997,2898.0,94922741.43302181,596452762.0418816,1997-12-23,501530020.6088598
1306,7,Good Will Hunting,262809623.12380064,2203.0,272912.0,0.002,7.0,Dec 5,-,Miramax,1997,489.0,18984548.28660436,428860945.7943925,1997-12-05,409876397.5077882
1308,9,My Best Friend's Wedding,241331632.8745047,2376.0,21678377.0,0.171,2134.0,Jun 20,-,Sony Pictures Releasing,1997,8874.0,72141283.48909657,568185897.325296,1997-06-20,496044613.83619946
1309,10,Tomorrow Never Dies,237884507.824,2807.0,25143007.0,0.201,2807.0,Dec 19,-,Metro-Goldwyn-Mayer (MGM),1997,714.0,208830031.15264797,632206470.0419688,1997-12-19,423376438.88932085
1310,11,Face/Off,213151191.51708412,2851.0,23387530.0,0.20800000000000002,2621.0,Jun 27,-,Paramount Pictures,1997,754.0,151876386.29283488,466450351.4018692,1997-06-27,314573965.1090343
1311,12,Batman & Robin,203752034.6846729,2942.0,42872605.0,0.39899999999999997,2934.0,Jun 20,Sep 25,Warner Bros.,1997,415.0,237306853.58255452,452225460.98220557,1997-06-20,214918607.39965105
1312,13,George of the Jungle,199837538.53217447,2616.0,16540791.0,0.157,2506.0,Jul 18,-,Walt Disney Studios Motion Pictures,1997,10603.0,104415015.57632399,331210612.6754767,1997-07-18,226795597.09915268
1313,14,Scream 2,192433648.2324112,2688.0,32926342.0,0.325,2663.0,Dec 12,-,Dimension Films,1997,4233.0,45562915.88785047,327293612.4610592,1997-12-12,281730696.57320875
1314,15,Con Air,191967144.72427413,2941.0,24131738.0,0.239,2824.0,Jun 6,Oct 16,Walt Disney Studios Motion Pictures,1997,1701.0,142384112.1495327,425277107.31631154,1997-06-06,282892995.1667788
1315,16,Contact,191592685.90004984,2314.0,20584908.0,0.204,1923.0,Jul 11,-,Warner Bros.,1997,686.0,170860934.57943925,324864214.87201244,1997-07-11,154003280.29257318
1316,17,Hercules,188159846.72213084,2930.0,249567.0,0.003,1.0,Jun 15,-,Walt Disney Studios Motion Pictures,1997,11970.0,161368660.43613708,479762508.40437376,1997-06-15,318393847.9682367
1317,18,Flubber,176513063.65515265,2679.0,26725207.0,0.287,2641.0,Nov 26,-,Walt Disney Studios Motion Pictures,1997,9574.0,151876386.29283488,337924959.50155765,1997-11-26,186048573.20872277
1318,19,Conspiracy Theory,144249978.10260436,2806.0,19313566.0,0.254,2806.0,Aug 8,-,Warner Bros.,1997,8834.0,142384112.1495327,260088311.52647975,1997-08-08,117704199.37694705
1319,20,I Know What You Did Last Summer,137801496.58609346,2524.0,15818645.0,0.218,2524.0,Oct 17,-,Sony Pictures Releasing,1997,3597.0,32273732.087227415,238419602.50509658,1997-10-17,206145870.41786918
1321,22,Dante's Peak,127439020.10915889,2761.0,18479435.0,0.275,2657.0,Feb 7,-,Universal Pictures,1997,9619.0,220220760.1246106,338167506.0904673,1997-02-07,117946745.96585667
1322,23,Anaconda,125081152.5011464,2456.0,16620887.0,0.252,2456.0,Apr 11,-,Sony Pictures Releasing,1997,9360.0,85430467.28971963,259898466.0436137,1997-04-11,174467998.7538941
1323,24,L.A. Confidential,122672341.75626169,1625.0,5211198.0,0.081,769.0,Sep 19,-,Warner Bros.,1997,2118.0,66445919.00311527,239584999.37694705,1997-09-19,173139080.37383178
1324,25,In & Out,121229495.20347664,2452.0,15019821.0,0.235,1992.0,Sep 19,-,Paramount Pictures,1997,10806.0,66445919.00311527,121311263.55140187,1997-09-19,54865344.5482866
1325,26,The Fifth Element,121159728.8869782,2500.0,17031345.0,0.267,2500.0,May 9,-,Sony Pictures Releasing,1997,18.0,170860934.57943925,501040540.10193145,1997-05-09,330179605.5224922
1326,27,Mousehunt,117547366.12509657,2233.0,6062922.0,0.098,2152.0,Dec 19,Jul 1,DreamWorks Distribution,1997,6283.0,72141283.48909657,232403883.259053,1997-12-19,160262599.7699564
1327,28,The Saint,116495460.78135826,2500.0,16278873.0,0.265,2307.0,Apr 4,-,Paramount Pictures,1997,10003.0,129094928.34890966,224207515.2647975,1997-04-04,95112586.91588785
1328,29,The Devil's Advocate,115700684.05806853,2404.0,12170536.0,0.2,2161.0,Oct 17,Feb 12,Warner Bros.,1997,1813.0,108211925.23364486,290463588.78504676,1997-10-17,182251663.5514019
1329,30,Kiss the Girls,114909432.76539564,2406.0,13215167.0,0.218,2271.0,Oct 3,-,Paramount Pictures,1997,9437.0,51258280.37383178,114909432.76539564,1997-10-03,63651152.39156386
1330,31,Jungle 2 Jungle,113769875.76221806,2340.0,12812047.0,0.214,2316.0,Mar 7,-,Walt Disney Studios Motion Pictures,1997,9446.0,60750554.51713396,113769875.76221806,1997-03-07,53019321.2450841
1331,32,Anastasia,110881811.48656699,2511.0,120541.0,0.002,1.0,Nov 14,-,Twentieth Century Fox,1997,9444.0,100618105.91900311,265412239.52832398,1997-11-14,164794133.60932088
1332,33,The Jackal,104282655.30566978,2309.0,15164595.0,0.276,2193.0,Nov 14,-,Universal Pictures,1997,4824.0,113907289.71962617,302423854.2056075,1997-11-14,188516564.4859813
1333,34,Spawn,104168548.67819315,2604.0,19738749.0,0.36,2536.0,Aug 1,-,New Line Cinema,1997,10336.0,75938193.14641744,166760351.8846355,1997-08-01,90822158.73821807
1334,35,Starship Troopers,104062618.69566354,2971.0,22058773.0,0.402,2971.0,Nov 7,-,Sony Pictures Releasing,1997,563.0,199337757.0093458,230120019.3187165,1997-11-07,30782262.309370697
1335,36,Austin Powers: International Man of Mystery,102296319.10453582,2187.0,9548111.0,0.177,2187.0,May 2,-,New Line Cinema,1997,816.0,31324504.672897197,128547694.94763863,1997-05-02,97223190.27474144
1336,37,Breakdown,95224869.12827414,2348.0,12307128.0,0.245,2108.0,May 2,-,Paramount Pictures,1997,2163.0,68344373.8317757,95224869.12827414,1997-05-02,26880495.296498448
1337,38,Absolute Power,95052424.88236761,2568.0,14678016.0,0.293,2568.0,Feb 14,-,Sony Pictures Releasing,1997,66.0,94922741.43302181,95112586.91588785,1997-02-14,189845.4828660339
1338,39,Volcano,93638375.99087851,2777.0,14581740.0,0.29600000000000004,2774.0,Apr 25,-,Twentieth Century Fox,1997,10357.0,170860934.57943925,233174805.8974206,1997-04-25,62313871.31798133
1339,40,Speed 2: Cruise Control,92280217.60954517,2625.0,16158942.0,0.332,2615.0,Jun 13,-,Twentieth Century Fox,1997,1639.0,303752772.58566976,312311132.2512897,1997-06-13,8558359.66561997
1340,41,The Game,91740262.88408722,2521.0,14337029.0,0.297,2403.0,Sep 12,-,PolyGram,1997,2649.0,94922741.43302181,207735852.91523987,1997-09-12,112813111.48221806
1341,42,G.I. Jane,91446966.80069782,2043.0,11094241.0,0.23,1945.0,Aug 22,-,Walt Disney Studios Motion Pictures,1997,4421.0,94922741.43302181,91446966.80069782,1997-08-22,-3475774.632323995
1342,43,Alien: Resurrection,90737897.7191028,2449.0,16474092.0,0.345,2415.0,Nov 26,-,Twentieth Century Fox,1997,8078.0,132891838.00623053,307549682.2429907,1997-11-26,174657844.23676014
1343,44,The Full Monty,87234230.98843613,783.0,176585.0,0.004,6.0,Aug 15,May 14,-,1997,9427.0,6644591.900311527,489516809.1815825,1997-08-15,482872217.281271
1344,45,The Rainmaker,87170911.82453582,2369.0,10626507.0,0.231,2317.0,Nov 21,-,Paramount Pictures,1997,11975.0,75938193.14641744,87170911.82453582,1997-11-21,11232718.678118378
1346,47,Bean,86036877.42645483,2015.0,2255233.0,0.05,242.0,Oct 17,-,Gramercy Pictures (I),1997,1281.0,34172186.91588785,476915906.3821807,1997-10-17,442743719.46629286
1347,48,Cop Land,85168835.53441745,2233.0,13510482.0,0.301,2233.0,Aug 15,-,Miramax,1997,2142.0,28476822.429906543,85168835.53441745,1997-08-15,56692013.1045109
1348,49,Nothing to Lose,84443344.81855452,1888.0,11617767.0,0.261,1862.0,Jul 18,-,Walt Disney Studios Motion Pictures,1997,11676.0,47461370.71651091,84443344.81855452,1997-07-18,36981974.102043614
1349,50,Amistad,83967595.83540188,1019.0,4573523.0,0.10300000000000001,322.0,Dec 10,May 14,DreamWorks Distribution,1997,11831.0,68344373.8317757,83967595.83540188,1997-12-10,15623222.003626183
1350,1,Independence Day,594585011.4603951,2977.0,50228264.0,0.16399999999999998,2882.0,Jul 3,Jan 12,Twentieth Century Fox,1996,602.0,145651051.625239,1587403991.6474314,1996-07-03,1441752940.0221925
1351,2,Twister,469426588.94740593,2808.0,41059405.0,0.17,2414.0,May 10,-,Warner Bros.,1996,664.0,178665289.9936265,960270632.9244614,1996-05-10,781605342.9308349
1352,3,Mission: Impossible,351469302.0198343,3012.0,45436830.0,0.251,3012.0,May 22,Dec 19,Paramount Pictures,1996,954.0,155361121.73358828,888859817.7182919,1996-05-22,733498695.9847035
1353,4,Jerry Maguire,298978092.3364181,2531.0,17084296.0,0.111,2531.0,Dec 13,-,Sony Pictures Releasing,1996,9390.0,97100701.08349267,531335036.32887185,1996-12-13,434234335.2453792
